county_code,county_name,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,total_lcff_entitlement,no_title1_status,number_of_schools,perc_title1_status
01,Alameda,227174,83426,95299,0.367233926417636,0.41949782985729,229206308,55,396,0.138888888888889
02,Alpine,70,41,43,0.585714285714286,0.614285714285714,0,0,3,0
03,Amador,4166,1522,1664,0.365338454152664,0.399423907825252,0,0,15,0
04,Butte,30037,15804,17698,0.526151080334254,0.589206645137664,36579973,15,87,0.172413793103448
05,Calaveras,5315,2427,2641,0.456632173095014,0.49689557855127,3627998,0,27,0
06,Colusa,4720,2856,3577,0.605084745762712,0.757838983050847,0,0,21,0
07,Contra Costa,178177,60301,70321,0.338433131099974,0.394669345650673,115617686,21,290,0.0724137931034483
08,Del Norte,4327,2654,2867,0.613357984746938,0.662583776288422,5854210,1,15,0.0666666666666667
09,El Dorado,31134,8533,9617,0.274073360313484,0.308890601914306,56643051,6,74,0.0810810810810811
10,Fresno,207600,133032,154017,0.640809248554913,0.741893063583815,144131468,17,347,0.0489913544668588
11,Glenn,6042,3492,4172,0.577954319761668,0.69049983449189,7532287,2,27,0.0740740740740741
12,Humboldt,18040,9583,10508,0.531208425720621,0.582483370288248,23179716,11,90,0.122222222222222
13,Imperial,37375,25622,28891,0.685538461538462,0.773003344481605,5936199,1,70,0.0142857142857143
14,Inyo,4476,2817,3083,0.629356568364611,0.688784629133155,16981582,3,25,0.12
15,Kern,198635,128937,144286,0.64911521131724,0.726387595338183,185586124,10,268,0.0373134328358209
16,Kings,29951,19206,21091,0.641247370705486,0.704183499716203,24100997,4,66,0.0606060606060606
17,Lake,9850,6412,7140,0.650964467005076,0.724873096446701,2440620,2,38,0.0526315789473684
18,Lassen,3811,1607,1862,0.421674101285752,0.488585673051693,5079108,2,21,0.0952380952380952
19,Los Angeles,1435803,882790,989638,0.614840615321183,0.689257509560852,2282291455,310,2285,0.135667396061269
20,Madera,32148,22817,25615,0.709748662436232,0.796783625730994,24712417,7,79,0.0886075949367089
21,Marin,33518,8533,9610,0.254579628856137,0.286711617638284,6957586,3,87,0.0344827586206897
22,Mariposa,1870,989,1211,0.528877005347594,0.647593582887701,1205846,1,15,0.0666666666666667
23,Mendocino,13217,8663,9849,0.655443746689869,0.745176666414466,11184103,10,66,0.151515151515152
24,Merced,59531,40567,45945,0.681443281651577,0.771782768641548,5625458,0,106,0
25,Modoc,1394,874,941,0.626972740315638,0.675035868005739,0,0,12,0
26,Mono,1933,950,1137,0.491464045525091,0.588204862907398,2791106,0,13,0
27,Monterey,77370,50608,56283,0.654103657748481,0.727452500969368,19781317,6,135,0.0444444444444444
28,Napa,20027,8116,9673,0.405252908573426,0.482997952763769,8030172,1,44,0.0227272727272727
29,Nevada,11524,5086,5773,0.441339812565082,0.500954529677196,41322577,4,42,0.0952380952380952
30,Orange,473446,204355,231136,0.431633174638713,0.488199287775163,191566183,30,640,0.046875
31,Placer,75217,17831,21117,0.23706077083638,0.280747703311751,80424738,13,136,0.0955882352941176
32,Plumas,2219,978,1263,0.440739071653898,0.569175304191077,3051575,1,14,0.0714285714285714
33,Riverside,431395,239719,280868,0.555683306482458,0.651069205716339,277599853,21,515,0.0407766990291262
34,Sacramento,249411,129576,149979,0.519528007986817,0.601332739935288,346099807,33,391,0.0843989769820972
35,San Benito,11546,5773,6493,0.5,0.562359258617703,4975648,1,29,0.0344827586206897
36,San Bernardino,406970,257668,291418,0.633137577708431,0.716067523404674,355644800,44,582,0.0756013745704467
37,San Diego,502471,207826,251689,0.413607949513504,0.500902539649054,773446194,119,791,0.150442477876106
38,San Francisco,61729,25368,29787,0.410957572615788,0.482544671062224,77682534,15,130,0.115384615384615
39,San Joaquin,152358,83446,94388,0.547696871841321,0.61951456438126,217082828,27,245,0.110204081632653
40,San Luis Obispo,34391,13132,15060,0.381844087115815,0.437905265912593,6637469,2,86,0.0232558139534884
41,San Mateo,93408,26485,30627,0.283541024323398,0.327884121274409,73213240,13,190,0.068421052631579
42,Santa Barbara,69006,37361,42828,0.541416688403907,0.620641683331884,41392176,13,126,0.103174603174603
43,Santa Clara,263219,76461,91932,0.290484349534038,0.349260501711503,299584102,45,438,0.102739726027397
44,Santa Cruz,40545,19804,21537,0.488444937723517,0.53118756936737,62412355,5,86,0.0581395348837209
45,Shasta,27097,13306,14898,0.491050669815847,0.549802561169133,41910191,13,102,0.127450980392157
46,Sierra,432,185,199,0.428240740740741,0.460648148148148,0,0,5,0
47,Siskiyou,6066,3499,3972,0.576821628750412,0.654797230464886,6743387,2,43,0.0465116279069768
48,Solano,62980,26344,31404,0.418291521117815,0.498634487138774,46718215,7,110,0.0636363636363636
49,Sonoma,68198,25416,30753,0.372679550719962,0.450936977623977,163918885,19,208,0.0913461538461538
50,Stanislaus,110372,65779,74195,0.595975428550719,0.672226651687022,89254817,11,203,0.0541871921182266
51,Sutter,23308,12942,14897,0.555259996567702,0.63913677707225,53768190,8,46,0.173913043478261
52,Tehama,11107,6997,8026,0.629963086341947,0.722607364724948,4041014,1,45,0.0222222222222222
53,Trinity,1579,901,1070,0.570614312856238,0.677644078530716,650651,1,18,0.0555555555555556
54,Tulare,105028,72879,80332,0.693900674105953,0.764862703279126,89491857,7,192,0.0364583333333333
55,Tuolumne,6042,2584,2900,0.427672955974843,0.479973518702416,6428602,1,25,0.04
56,Ventura,135291,58826,70930,0.434810889120488,0.524277298563836,69723950,12,218,0.055045871559633
57,Yolo,30533,13195,14982,0.43215537287525,0.490682212687911,24241319,4,66,0.0606060606060606
58,Yuba,14746,9030,10096,0.612369456123695,0.684660246846602,14878844,3,44,0.0681818181818182
