,SiteCity
0,ACAMPO
1,ALAMO
2,ALTA
3,ALTADENA
4,ANGELS CAMP
5,ANGWIN
6,APTOS
7,ARBUCKLE
8,ARMONA
9,ARNOLD
10,AROMAS
11,AVILA BEACH
12,BAKERSIFELD
13,BALBOA
14,BANTA
15,BAY POINT
16,BAYSIDE
17,BELVEDERE
18,BEN LOMOND
19,BENTON
20,BETHEL ISLAND
21,BODEGA BAY
22,BOONVILLE
23,BOULDER CREEK
24,BRADLEY
25,BRIDGEPORT
26,BRIDGEVILLE
27,BROOKDALE
28,BROWNS VALLEY
29,BUELLTON
30,BURNEY
31,BUTTONWILLOW
32,CAMBRIA
33,CAMERON PARK
34,CAMINO
35,CAMP MEEKER
36,CANYON COUNTRY
37,CANYON LAKE
38,CARLOTTA
39,CARMEL
40,CARMEL VALLEY
41,CARUTHERS
42,CASTAIC
43,CASTRO VALLEY
44,CASTROVILLE
45,CAYUCOS
46,CAZADERO
47,CHALFANT VALLEY
48,CHATSWORTH
49,CHUALAR
50,CLEARLAKE OAKS
51,COARSEGOLD
52,COLMA
53,COPPEROPOLIS
54,CORONA DEL MAR
55,COULTERVILLE
56,CRESSEY
57,CROWLEY LAKE
58,CUTTEN
59,DEL REY
60,DELHI
61,DIAMOND SPRINGS
62,DILLON BEACH
63,DISCOVERY BAY
64,DOWNIEVILLE
65,DURHAM
66,EAST PALO ALTO
67,EL DORADO HILLS
68,EL PORTAL
69,EL SOBRANTE
70,EL TORO
71,ELMIRA
72,ESPARTO
73,FELTON
74,FERNBRIDGE
75,FIELDBROOK
76,FIELDS LANDING
77,FINLEY
78,FIVE POINTS
79,FOREST KNOLLS
80,FOREST RANCH
81,FORESTHILL
82,FORESTVILLE
83,FOSTER CITY
84,FREEDOM
85,FRENCH CAMP
86,FRIANT
87,FULTON
88,GARBERVILLE
89,GARDEN VALLEY
90,GEORGETOWN
91,GEYSERVILLE
92,GLEN ELLEN
93,GOLD RUN
94,GRANITE BAY
95,GRATON
96,GREENBRAE
97,GREENWOOD
98,GUADALUPE
99,GUALALA
100,GUERNEVILLE
101,HACIENDA HEIGHTS
102,HELM
103,HONEYDEW
104,HOOPA
105,HYDESVILLE
106,INVERNESS
107,IRWINDALE
108,JAMESTOWN
109,JUNE LAKE
110,KELSEYVILLE
111,KENSINGTON
112,KENTFIELD
113,KENWOOD
114,KNEELAND
115,KNIGHTS LANDING
116,LA GRANGE
117,LA SELVA BEACH
118,LAGUNITAS
119,LAKE SHERWOOD
120,LAKEHEAD
121,LAMONT
122,LATON
123,LAYTONVILLE
124,LE GRAND
125,LINDEN
126,LITTLEROCK
127,LOCKEFORD
128,LOLETA
129,LOS ALTOS HILLS
130,LOS MOLINOS
131,LOS OLIVOS
132,LOS OSOS
133,LOST HILLS
134,LOWER LAKE
135,LUCERNE
136,MAGALIA
137,MANCHESTER
138,MANILA
139,MARIPOSA
140,MARTELL
141,MC FARLAND
142,MCKINLEYVILLE
143,MEADOW VISTA
144,MENDOCINO
145,MIDDLETOWN
146,MIRANDA
147,MONTE RIO
148,MONTROSE
149,MOSS LANDING
150,MURPHYS
151,MYERS FLAT
152,NEWBURY PARK
153,NEWCASTLE
154,NEWPORT COAST
155,NICE
156,NIPOMO
157,NORTH FORK
158,OAK PARK
159,OAKHURST
160,OCCIDENTAL
161,OCEANO
162,OLIVEHURST
163,ORANGEVALE
164,ORCUTT
165,ORICK
166,ORLEANS
167,PACHECO
168,PAICINES
169,PALERMO
170,PALO CEDRO
171,PALOS VERDES ESTATES
172,PASO ROBLES
173,PEARBLOSSOM
174,PENN VALLEY
175,PENNGROVE
176,PENRYN
177,PETROLIA
178,PHILLIPSVILLE
179,PHILO
180,PINE GROVE
181,PINEDALE
182,PIONEER
183,PLANADA
184,PLEASANT GROVE
185,POINT REYES STATION
186,POLLOCK PINES
187,POTTER VALLEY
188,QUAIL VALLEY
189,QUINCY
190,REDCREST
191,REDWAY
192,REDWOOD VALLEY
193,RIO DELL
194,RIO OSO
195,RIVERDALE
196,RODEO
197,ROLLING HILLS
198,ROLLING HILLS ESTATES
199,RUTHERFORD
200,SAINT HELENA
201,SAMOA
202,SAN ARDO
203,SAN GERONIMO
204,SAN JOAQUIN
205,SAN LORENZO
206,SAN MARTIN
207,SAN MIGUEL
208,SAN SIMEON
209,SAND CITY
210,SANTA MARGARITA
211,SANTA NELLA
212,SANTA YNEZ
213,SCOTIA
214,SHINGLE SPRINGS
215,SODA SPRINGS
216,SOMES BAR
217,SOMIS
218,SOQUEL
219,SPRECKELS
220,SQUAW VALLEY
221,STANFORD
222,STEVENSON RANCH
223,SUN CITY
224,SUTTER
225,TECOPA
226,TEMPLETON
227,TIBURON
228,TOMALES
229,TUOLUMNE
230,TWAIN HARTE
231,UPPER LAKE
232,VALENCIA
233,VALLEY ACRES
234,VALLEY FORD
235,VALLEY SPRINGS
236,VENTURA
237,VERNALIS
238,WEITCHPEC
239,WEOTT
240,WESTLEY
241,WILLOW CREEK
242,WINTON
243,WOODACRE
244,YOSEMITE NATIONAL PARK
