county_fips,County,Population,Mean Income,CES Score Median,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Total Claims,Total Programs,IRR,Tax Revenue (2016-2018)
0,Alameda,1656754,76626,21.5329058,0,0,0,0,0,0.270123418,2881750725
1,Alpine,1039,78945,11.34335677,0,0,0,0,0,0.656044503,18809887
2,Amador,38429,51453,23.25754909,0,0,0,0,0,0.502563215,72724843.33
3,Butte,225817,62405,20.03326123,0,0,0,0,0,0.434554907,399351348.3
4,Calaveras,45514,70651,15.18085248,0,0,0,0,0,0.509595041,100835428.7
5,Colusa,21454,51788,27.46890061,0,0,0,0,0,0.543578676,57807627.67
6,Contra Costa,1142251,54605,17.21319803,0,0,0,0,0,0.274897329,3031480697
7,Del Norte,27495,62144,16.84485079,0,0,0,0,0,0.530593072,73020786
8,El Dorado,188563,58390,10.54622312,0,0,0,0,0,0.452632459,321391765
9,Fresno,984521,63368,44.35557894,8896327.766,-13114.53146,4652241.968,10192,1,0.407642153,1647762525
10,Glenn,27976,63764,23.67125796,0,0,0,0,0,0.534306275,74168476
11,Humboldt,135940,62536,15.2839121,0,0,0,0,0,0.508712228,317901854
12,Imperial,180701,65273,39.58382186,0,0,0,0,0,0.483676103,396861163
13,Inyo,17977,55353,18.79896764,0,0,0,0,0,0.614476007,75493839.67
14,Kern,887641,65073,36.35772393,17041003.23,-59690.00437,7141818.916,18958,3,0.421116981,1842935830
15,Kings,150691,67561,38.95330355,0,0,0,0,0,0.459568005,261154529.3
16,Lake,64195,64357,17.5990331,0,0,0,0,0,0.501903671,146829307.7
17,Lassen,30818,46389,15.8205256,0,0,0,0,0,0.562445155,65719947
18,Los Angeles,10081570,59106,36.39758777,7391889.736,7747.596513,9229751.663,999,8,0.226484593,22962748243
19,Madera,155433,61593,39.17836861,1493689.904,-3390.573124,696059.2606,390,1,0.469575207,242961361.7
20,Marin,259943,63988,6.800021201,2629423.108,-14686.92687,2048219.035,5775,1,0.376551385,579825475.3
21,Mariposa,17420,64617,15.1202458,0,0,0,0,0,0.556874694,71975889.33
22,Mendocino,87224,60544,16.9170484,1911030.024,-11266.80318,1473599.119,1877,1,0.515868582,229175355.3
23,Merced,271382,49839,44.4721416,0,0,0,0,0,0.43870777,504134652.7
24,Modoc,8907,57068,16.52539825,0,0,0,0,0,0.60969562,31132031.67
25,Mono,14310,74878,13.79902457,0,0,0,0,0,0.599739529,60854130.67
26,Monterey,433410,54906,22.94952193,20471214.29,-75456.91509,11421511.18,4250,1,0.426751382,1117319594
27,Napa,139623,61210,14.90709121,1398025.438,-4901.597578,800297.3006,609,1,0.439768059,370325406.3
28,Nevada,99244,58390,12.93097238,0,0,0,0,0,0.462420172,165212418
29,Orange,3168044,59877,21.11432815,7640817.443,-285.1340697,5354752.692,1148,6,0.167891882,4263584358
30,Placer,385512,57934,8.681462014,0,0,0,0,0,0.419322816,642482953.7
31,Plumas,18660,45546,15.06034749,0,0,0,0,0,0.564573053,59689265.33
32,Riverside,2411439,57259,27.8028861,2879111.461,-188.6141917,2613500.313,628,6,0.367669403,4208153069
33,Sacramento,1524553,61520,24.41737186,0,0,0,0,0,0.287298945,3229661692
34,San Benito,60376,69030,31.28856605,0,0,0,0,0,0.504367412,84568037.67
35,San Bernardino,2149031,58211,36.47243713,64436.58,0,532758.4372,40,5,0.398318883,4058369547
36,San Diego,3316073,79853,17.11395319,0,0,20038027.94,78,6,0.313741722,4438970839
37,San Francisco,874961,64631,14.76133906,13460290.7,-46447.65451,13898634.1,2374,1,0.079645896,1457014810
38,San Joaquin,742603,63860,39.46248107,6591310.809,-517.0555748,1864069.982,72,2,0.376179201,585417950
39,San Luis Obispo,282165,64465,11.8406507,4617609.05,-20950.93078,2666456.394,2933,2,0.445806595,1729970791
40,San Mateo,767423,69742,13.73634977,17000541.67,-21242.80603,4460994.03,53589,1,0.291916724,861770490
41,Santa Barbara,444829,77911,14.62232636,4393242.529,-12835.61614,2962766.229,1126,3,0.418740179,5517522972
42,Santa Clara,1927470,55980,16.75659056,0,0,0,0,0,0.297966473,542017828
43,Santa Cruz,273962,48377,11.75383783,0,0,0,0,0,0.372903537,326593493
44,Shasta,179212,86014,14.01309393,0,0,0,0,0,0.466950482,20402292.33
45,Sierra,3040,61491,19.96548266,0,0,0,0,0,0.6149941,97399696
46,Siskiyou,43468,53922,14.69954927,0,0,0,0,0,0.557350419,710590721
47,Solano,441829,63635,21.7992194,11321720.76,-43651.28021,5537642.458,3696,1,0.377800437,1054483413
48,Sonoma,499772,67001,14.81024382,12865016.03,-43956.9408,5779902.207,15599,1,0.392294571,1011226480
49,Stanislaus,543194,61405,44.07540583,0,0,0,0,0,0.393360261,167354482
50,Sutter,96109,67588,27.29001288,896967.034,-1863.61135,721439.8892,115,1,0.45473087,124136941.7
51,Tehama,63912,68489,26.96350594,0,0,0,0,0,0.518114144,56268720.67
52,Trinity,12700,46949,8.569741274,0,0,0,0,0,0.585870254,830281577.7
53,Tulare,461898,59408,38.0609887,0,0,0,0,0,0.436561598,139786763.7
54,Tuolumne,54045,59278,21.28900905,0,0,0,0,0,0.518851624,1813267005
55,Ventura,847263,59542,17.98371115,1248864.13,36736.47488,2365657.124,104,4,0.36874757,343809838.3
56,Yolo,217352,55398,18.63739569,785666.3392,-1700.9238,450700.6204,132,1,0.43782709,180899120
57,Yuba,76360,72547,31.54048804,0,0,0,0,0,0.46933823,2881750725
